name,category,address,hours,rating,price,avg_bill,middle_avg_bill,middle_coffee_cup,chain,seats,city,avg_bill_from,avg_bill_to
пан запекан,кафе,1-й стрелецкий проезд 14,"ежедневно,07:30–22:00",8.6,средние,средний счёт:200–400 ₽,300.0,,0,72.0,Москва,200.0,400.0
додо пицца,пиццерия,тимирязевская улица 11,"ежедневно,09:00–23:00",8.8,,средний счёт:443 ₽,443.0,,1,50.0,Москва,443.0,-1.0
брассери брюссель,кафе,большая новодмитровская улица 23 стр. 1,пн-пт 09:00–16:00,8.0,средние,средний счёт:250–1000 ₽,625.0,,0,50.0,Москва,250.0,1000.0
nobo,ресторан,новослободская улица 24а стр. 3,"пн-пт 08:30–22:00; сб,вс 09:30–22:00",9.4,высокие,средний счёт:1500–2500 ₽,2000.0,,0,,Москва,1500.0,2500.0
магадан на белой площади,ресторан,улица бутырский вал 10,"ежедневно,12:00–00:00",8.0,,,,,0,98.0,Москва,,-1.0
yammy,ресторан,новодмитровская улица 5а стр. 2,"пн-чт 11:00–21:45; пт,сб 11:00–22:45; вс 11:00–21:45",8.2,средние,средний счёт:400–600 ₽,500.0,,0,44.0,Москва,400.0,600.0
хинкали point,ресторан,лесная улица 20с1,"пн-пт 10:00–23:00; сб,вс 12:00–23:00",9.0,,,,,0,,Москва,,-1.0
гладиатор,кафе,улица фонвизина 17,"пн-пт 14:00–03:00; сб,вс 12:00–03:00",9.0,средние,средний счёт:1000–1200 ₽,1100.0,,0,15.0,Москва,1000.0,1200.0
pancho,ресторан,новослободская улица 52 подъезд 1,"ежедневно,круглосуточно",9.0,средние,средний счёт:340–550 ₽,445.0,,0,217.0,Москва,340.0,550.0
твой кофе,кофейня,1-я улица ямского поля 17к12,"пн-пт 08:00–20:00; сб,вс 11:00–19:00",8.8,средние,средний счёт:150–350 ₽,250.0,,0,,Москва,150.0,350.0
итальянские каникулы,кафе,петровско-разумовская аллея 10 корп. 3,"ежедневно,11:00–23:00",8.4,высокие,средний счёт:1500–2000 ₽,1750.0,,0,24.0,Москва,1500.0,2000.0
ток,кофейня,ленинградский проспект 36 стр. 10,пн-пт 08:30–18:00,9.0,средние,цена чашки капучино:159 ₽,,159.0,0,56.0,Москва,159.0,-1.0
первый нос,ресторан,кочновский проезд 4 корп. 2,"пн-пт 07:30–23:00; сб,вс 09:00–23:00",8.6,,,,,0,,Москва,,-1.0
кофепорт,кофейня,улица правды 15 стр. 1,"ежедневно,08:00–20:00",8.8,,цена чашки капучино:90–100 ₽,,95.0,1,160.0,Москва,90.0,100.0
точка питания,кофейня,3-я улица ямского поля 20с2,пн-пт 09:00–17:00,9.4,средние,средний счёт:229 ₽,229.0,,0,,Москва,229.0,-1.0
poke&tomyum,ресторан,складочная улица 1 стр. 1,"ежедневно,10:00–22:00",8.6,,средний счёт:500–600 ₽,550.0,,0,60.0,Москва,500.0,600.0
главпирог,булочная,беговая улица 17 корп. 1,"ежедневно,08:00–21:00",9.2,,,,,0,85.0,Москва,,-1.0
еще одна собачка,кофейня,улица дубки 2,"ежедневно,09:00–21:00",9.4,,цена чашки капучино:180–250 ₽,,215.0,0,,Москва,180.0,250.0
джонджоли,ресторан,новослободская улица 14/19с1,"пн-пт 11:00–00:00; сб,вс 12:00–00:00",8.8,средние,средний счёт:700–1300 ₽,1000.0,,1,,Москва,700.0,1300.0
динамо,кафе,улица верхняя масловка 9,"ежедневно,10:00–22:00",10.0,,,,,0,,Москва,,-1.0
свежъ,столовая,новодмитровская улица 2 корп. 4,пн-пт 09:00–18:00,8.6,средние,средний счёт:250–350 ₽,300.0,,0,38.0,Москва,250.0,350.0
саббиа кофе,кофейня,ходынский бульвар 4,"пн-чт 10:00–22:00; пт,сб 10:00–23:00; вс 10:00–22:00",10.0,,цена чашки капучино:195–295 ₽,,245.0,0,100.0,Москва,195.0,295.0
you&coffee,кофейня,улица золоторожский вал 11 стр. 21,"ежедневно,круглосуточно",8.4,,,,,0,,Москва,,-1.0
волконский,булочная,ленинградский проспект 29 корп. 1,"ежедневно,08:00–22:00",8.8,,,,,1,625.0,Москва,,-1.0
аль-маида,кафе,1-я квесисская улица 18,"ежедневно,11:00–00:00",8.2,средние,средний счёт:300–400 ₽,350.0,,0,24.0,Москва,300.0,400.0
rishon,кафе,улица образцова 11 стр. 1а,пн-чт 12:00–21:00; пт 10:00–14:00; вс 12:00–21:00,8.6,,,,,0,,Москва,,-1.0
бирхеванс ресторан бар,"бар, паб",улица расковой 14,"пн-пт 11:00–00:00; сб,вс 12:00–00:00",8.6,средние,цена бокала пива:200–440 ₽,,,0,95.0,Москва,200.0,440.0
рохат,кафе,тимирязевская улица 11,"ежедневно,круглосуточно",8.0,средние,средний счёт:300–1500 ₽,900.0,,0,50.0,Москва,300.0,1500.0
симбиоз,"бар, паб",ленинградский проспект 35с2,"пн-чт 12:00–00:00; пт,сб 12:00–02:00; вс 12:00–00:00",8.6,высокие,средний счёт:1500–2000 ₽,1750.0,,0,,Москва,1500.0,2000.0
хлебница,булочная,улица верхняя масловка 21,"пн-пт 07:00–22:00; сб,вс 08:00–21:00",9.0,,,,,1,20.0,Москва,,-1.0
amarena,ресторан,ходынский бульвар 2,"ежедневно,круглосуточно",9.0,выше среднего,средний счёт:1000–2000 ₽,1500.0,,0,28.0,Москва,1000.0,2000.0
meat street,"бар, паб",новослободская улица 18,"пн-пт 10:00–00:00; сб,вс 12:00–02:00",8.8,средние,средний счёт:от 800 ₽,800.0,,0,307.0,Москва,800.0,-1.0
суп,столовая,скаковая улица 17 стр. 3,пн-пт 11:30–19:00,8.6,выше среднего,средний счёт:1200 ₽,1200.0,,0,,Москва,1200.0,-1.0
mukuzani,ресторан,3-я улица ямского поля 24,"пн-чт 12:00–00:00; пт,сб 12:00–06:00; вс 12:00–00:00",8.8,высокие,средний счёт:1500–2500 ₽,2000.0,,0,55.0,Москва,1500.0,2500.0
кофепорт,кофейня,новослободская улица 50/1с2,"ежедневно,08:00–20:00",8.8,,цена чашки капучино:90–100 ₽,,95.0,1,,Москва,90.0,100.0
take and wake,кофейня,ленинградский проспект 31а стр. 1,"пн-пт 08:00–20:00; сб,вс 09:00–19:00",9.0,,цена чашки капучино:120–190 ₽,,155.0,1,625.0,Москва,120.0,190.0
хинкальный дом,"бар, паб",октябрьская улица 38 корп. 1,"ежедневно,11:00–23:00",8.8,средние,,,,1,60.0,Москва,,-1.0
chicken mania,ресторан,беговая аллея 3а,"ежедневно,11:00–23:00",8.6,средние,средний счёт:350–500 ₽,425.0,,0,,Москва,350.0,500.0
k-town korean bbq,ресторан,лесная улица 20 стр. 3,"пн-чт 10:00–23:00; пт,сб 10:00–02:00; вс 10:00–23:00",8.8,средние,средний счёт:900–1200 ₽,1050.0,,0,500.0,Москва,900.0,1200.0
твой кофе,кофейня,улица руставели 12/7ка,"пн-пт 07:00–20:00; сб,вс 09:00–18:00",8.6,средние,цена чашки капучино:140–200 ₽,,170.0,1,,Москва,140.0,200.0
cofix,кофейня,бутырская улица 86б,"пн-пт 07:00–22:00; сб,вс 08:00–22:00",8.4,,,,,1,,Москва,,-1.0
карамзин,"бар, паб",ленинградский проспект 40 стр. 5,"ежедневно,07:00–23:00",8.6,высокие,средний счёт:1500–2000 ₽,1750.0,,0,64.0,Москва,1500.0,2000.0
мимино,кафе,лесная улица 1/2,"ежедневно,12:00–23:30",8.6,средние,средний счёт:от 1000 ₽,1000.0,,1,70.0,Москва,1000.0,-1.0
в темноте,"бар, паб",октябрьская улица 2,"ежедневно,12:00–00:00",8.8,высокие,средний счёт:2500 ₽,2500.0,,0,40.0,Москва,2500.0,-1.0
локо,ресторан,улица образцова 22,"ежедневно,11:00–23:00",8.6,средние,средний счёт:700–900 ₽,800.0,,0,80.0,Москва,700.0,900.0
кулинарная лавка братьев караваевых,кафе,улица черняховского,"ежедневно,08:00–23:00",8.8,средние,средний счёт:400–600 ₽,500.0,,1,,Москва,400.0,600.0
пошаблим?,"бар, паб",ленинградский проспект 12,"ежедневно,12:00–00:00",8.8,средние,средний счёт:до 1000 ₽,1000.0,,0,65.0,Москва,0.0,1000.0
зам-зам,кафе,1-я квесисская улица 18,"ежедневно,09:00–21:00",8.0,,средний счёт:150–600 ₽,375.0,,0,24.0,Москва,150.0,600.0
madison restaurant & club,ресторан,ленинградский проспект 31а,"пн-чт 12:00–00:00; пт,сб 12:00–05:00",8.8,высокие,средний счёт:2500–3500 ₽,3000.0,,0,,Москва,2500.0,3500.0
