,name,category,address,hours,rating,avg_bill,middle_coffee_cup
2148,Gastroli by Golden Girls,Бар,"Санкт - Петербург , Думская , 4 , литера А , ТК « Перинные ряды »",ср - сб 22.00 – 6.00,,1700 – 3000 рублей средний чек,
2149,Gate 7,Ресторан,"Санкт - Петербург , Стартовая , 8 , литера А , БЦ « Аэроплаза »",пн - пт 12.00 – 18.00,,1700 – 3000 рублей средний чек,
2150,Gavazi,Ресторан,"Санкт - Петербург , Боровая , 22",пн - вс 10.00 – 23.00,,До 700 рублей средний чек,
2151,George & Philipp ' s,Бар,"Санкт - Петербург , 10 - я Советская , 8",ср - вс 17.00 – 2.00,,,
2152,Georgia,Ресторан,"Санкт - Петербург , Малый просп.В.О., 75",пн - вс 11.00 – 23.00,,700 – 1700 рублей средний чек,
2153,Georgia,Ресторан,"Санкт - Петербург , Большой просп.В.О., 52 / 15",пн - вс 11.00 – 23.00,,700 – 1700 рублей средний чек,
2154,Georgian Family,Ресторан,"Санкт - Петербург , Большой просп.П.С., 74",пн - вс 11.00 – 22.00,,700 – 1700 рублей средний чек,
2155,Georgiani,Ресторан,"Санкт - Петербург , Большой просп.В.О., 16 / 14б , Василеостровский рынок",пн - вс 12.00 – 23.00,,До 700 рублей средний чек,
2156,Georgiani,Ресторан,"Санкт - Петербург , Чкаловскии ̆ просп., 38","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 0.00",,До 700 рублей средний чек,
2157,Giallo,Ресторан,"Санкт - Петербург , Восстания , 16","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 2.00",,700 – 1700 рублей средний чек,
2158,Gianni Pasta & Bar,Ресторан,"Санкт - Петербург , Спасский пер., 11",пн - вс 11.00 – 23.00,,700 – 1700 рублей средний чек,
2159,Giardino,Ресторан,"Санкт - Петербург , Гангутская , 4 , Dom Boutique Hotel","пн - пт 7.00 – 10.00 , 12.00 – 22.00 , сб - вс 7.00 – 11.00 , 12.00 – 22.00",,700 – 1700 рублей средний чек,
2160,Giardino,Ресторан,"Санкт - Петербург , Восстания , 45","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 1.00",,1700 – 3000 рублей средний чек,
2161,Gills,Ресторан,"Санкт - Петербург , Казанская , 8","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 1.00",,700 – 1700 рублей средний чек,
2162,Gino,Ресторан,"Санкт - Петербург , Моисеенко , 27",пн - вс 13.00 – 23.00,,1700 – 3000 рублей средний чек,
2163,Gin Tonic Bar,Бар,"Санкт - Петербург , Литейный просп., 64 , во дворе","пн - чт , вс 18.00 – 1.00 , пт - сб 18.00 – 4.00",,,
2164,Ginza Project Catering,Ресторан,,,,,
2165,Giro,Ресторан,"Санкт - Петербург , Басков пер., 2 , стр.1","пн - чт , вс 9.00 – 23.00 , пт - сб 9.00 – 0.00",,1700 – 3000 рублей средний чек,
2166,Giros,Фастфуд,"Санкт - Петербург , Гороховая , 50",пн - вс 11.00 – 22.00,,До 700 рублей средний чек,
2167,Giros,Фастфуд,"Санкт - Петербург , Егорова , 4",пн - вс 11.00 – 22.00,,До 700 рублей средний чек,
2168,Gitano,Ресторан,"Санкт - Петербург , Садовая , 12",пт - сб 23.00 – 5.00,,Больше 3000 рублей средний чек,
2169,Giusto,Ресторан,"Санкт - Петербург , просп.Добролюбова , 8","пн - чт 8.30 – 23.00 , пт 8.30 – 0.00 , сб 10.00 – 0.00 , вс 10.00 – 23.00",,1700 – 3000 рублей средний чек,
2170,Glad,Ресторан,"Санкт - Петербург , Караванная , 16 / 14",пн - вс 11.00 – 23.00,,1700 – 3000 рублей средний чек,
2171,Glasses of Wine,Бар,"Санкт - Петербург , Академика Павлова , 6 , корп.1","пн - чт , вс 14.00 – 23.00 , пт - сб 14.00 – 2.00",,1700 – 3000 рублей средний чек,
2172,Gocha ’ s Café,Ресторан,"Санкт - Петербург , Большеохтинский просп., 15 , корп.1",пн - вс 12.00 – 0.00,,700 – 1700 рублей средний чек,
2173,Go Coffee,Кофейня,"Санкт - Петербург , Б.Сампсониевский просп., 80",пн - вс 9.00 – 19.00,,,
2174,Gods,Ресторан,"Санкт - Петербург , Рубинштейна , 16","пн 14.00 – 2.00 , вт - сб 12.00 – 2.00 , вс 13.00 – 2.00",,1700 – 3000 рублей средний чек,
2175,Gogi,Ресторан,"Санкт - Петербург , ​ Невский просп., 54","пн - чт , вс 11.00 – 0.00 , пт - сб 12.00 – 1.00",,700 – 1700 рублей средний чек,
2176,Go Hard Lounge,Ресторан,"Санкт - Петербург , Литейный просп., 28","пн - пт 14.00 – 2.00 , сб - вс 15.00 – 2.00",,,
2177,Gojira Bar,Бар,"Санкт - Петербург , Б.Конюшенная , 9 , кластер « Цархитектор »","ср - чт , вс 17.00 – 0.00 , пт - сб 17.00 – 3.00",,До 700 рублей средний чек,
2178,Golden Café,Кафе,"Санкт - Петербург , Лермонтовский просп., 27","пн - чт 11.00 – 23.00 , пт 10.00 – 19.00",,700 – 1700 рублей средний чек,
2179,Golden Pub,Паб,"Санкт - Петербург , Всеволожский р - н , Мурино , просп.Авиаторов Балтики , 7 , корп.1","пн - чт , вс 13.00 – 1.00 , пт - сб 13.00 – 3.00",,700 – 1700 рублей средний чек,
2180,Goneli Daily,Кафе,"Санкт - Петербург , ​ Пискаревский просп., 1",пн - вс 9.00 – 23.00,,До 700 рублей средний чек,
2181,Goneli Daily,Кафе,"Санкт - Петербург , ​ просп.Медиков , 10 , корп.1",пн - вс 9.00 – 23.00,,До 700 рублей средний чек,
2182,Good Bad Rabbits,Бар,"Санкт - Петербург , Некрасова , 22",пн - вс 14.00 – 23.00,,,
2183,Goose Goose,Ресторан,"Санкт - Петербург , Б.Конюшенная , 27 , 2 этаж",пн - вс 10.00 – 23.00,,1700 – 3000 рублей средний чек,
2184,Gorilla Sushi,Ресторан,"Санкт - Петербург , Большой просп.П.С., 35","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 1.00",,1700 – 3000 рублей средний чек,
2185,Gorki,Ресторан,"Санкт - Петербург , Ломоносовский р - н , пос.Горки Гольф",пн - вс 9.00 – 21.00,,1700 – 3000 рублей средний чек,
2186,Gorn,Ресторан,"Санкт - Петербург , Большой просп.В.О., 68 , ТЦ « Балтийский »",пн - вс 12.00 – 23.00,,700 – 1700 рублей средний чек,
2187,Gotcha !,Кофейня,"Санкт - Петербург , Литейный просп., 41",пн - вс 9.00 – 21.00,,,
2188,Gotham Lighthouse,Ресторан,"Санкт - Петербург , Банковский пер., 3б",пн - вс 12.00 – 6.00,,,
2189,Gourmet,Бар,"Санкт - Петербург , Маяковского , 3а , гостиница « Новотель »",пн - вс 8.00 – 1.00,,700 – 1700 рублей средний чек,
2190,Grain,Ресторан,"Санкт - Петербург , Моховая , 12",пн - вс 13.00 – 23.00,,700 – 1700 рублей средний чек,
2191,Gràn,Кофейня,"Санкт - Петербург , Гороховая , 46","пн - пт 9.00 – 22.00 , сб - вс 11.00 – 22.00",,До 700 рублей средний чек,
2192,Granat,Ресторан,"Санкт - Петербург , Кржижановского , 8","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 2.00",,700 – 1700 рублей средний чек,
2193,Grand chèvre,Ресторан,"Санкт - Петербург , просп.Космонавтов , 63 , корп.1",пн - вс 12.00 – 23.00,,700 – 1700 рублей средний чек,
2194,Grande,Кафе,"Санкт - Петербург , Софийская , 24",пн - вс 10.00 – 0.00,,700 – 1700 рублей средний чек,
2195,Grand Lounge,Ресторан,"Санкт - Петербург , просп.Луначарского , 15 , корп.1","пн - чт , вс 17.00 – 1.00 , пт - сб 17.00 – 6.00",,,
2196,Grand Империал,Ресторан,"Санкт - Петербург , Смоленская , 1","пн - чт 10.30 – 0.00 , пт 10.30 – 2.00 , сб 12.00 – 2.00 , вс 12.00 – 0.00",,700 – 1700 рублей средний чек,
2197,Granola,Кондитерская,"Санкт - Петербург , Маяковского , 3","пн - пт 8.00 – 22.30 , сб - вс 9.00 – 22.30",,,
2198,Granula Coffee,Кофейня,"Санкт - Петербург , ​ Левашовский просп., 4","пн - пт 8.00 – 21.00 , сб - вс 9.00 – 21.00",,,
2199,Grasseria Breakfast Bar,Ресторан,"Санкт - Петербург , Салова , 61","пн - пт 9.00 – 22.00 , сб - вс 10.00 – 22.00",,700 – 1700 рублей средний чек,
2200,Grazie ragazzi,Ресторан,"Санкт - Петербург , Рубинштейна , 6",пн - вс 12.00 – 1.00,,1700 – 3000 рублей средний чек,
2201,Great Punjab,Ресторан,"Санкт - Петербург , Пушкинская , 6",пн - вс 11.00 – 23.00,,700 – 1700 рублей средний чек,
2202,Grebeshki,Ресторан,"Санкт - Петербург , Арсенальная наб., 1","пн - чт 18.00 – 23.00 , пт 18.00 – 1.00 , сб 12.00 – 1.00 , вс 12.00 – 23.00",,1700 – 3000 рублей средний чек,
2203,Grecco,Ресторан,"Санкт - Петербург , Рыбацкая , 2","пн - пт 8.30 – 0.00 , сб - вс 10.00 – 0.00",,1700 – 3000 рублей средний чек,
2204,Green 28,Ресторан,"Санкт - Петербург , Б.Зеленина , 28","пн - пт 9.00 – 23.00 , сб - вс 10.00 – 23.00",,700 – 1700 рублей средний чек,
2205,Greenbar,Ресторан,"Санкт - Петербург , Планерная , 59 , ТРЦ Leomall , 4 этаж",пн - вс 10.00 – 22.00,,,
2206,Greenbar,Ресторан,"Санкт - Петербург , Невский просп., 35 , Большой Гостиный Двор , 2 этаж",пн - вс 10.00 – 22.00,,,
2207,Greenbearruss,Бар,"Санкт - Петербург , Лиговский просп., 74 , лофт - проект « Этажи »","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 1.00",,700 – 1700 рублей средний чек,
2208,Greenbox,Кафе,"Санкт - Петербург , Большой просп.П.С., 12","пн - пт 8.00 – 21.00 , сб - вс 10.00 – 20.00",,До 700 рублей средний чек,
2209,Greenbox,Кафе,"Санкт - Петербург , Профессора Попова , 37 , БЦ « Сенатор »",пн - пт 8.00 – 21.00,,До 700 рублей средний чек,
2210,Greenbox,Кафе,"Санкт - Петербург , Льва Толстого , 4",пн - вс 8.00 – 22.00,,До 700 рублей средний чек,
2211,Greenbox,Кафе,"Санкт - Петербург , Финляндский просп., 4а , БЦ « Петровский форт »",пн - пт 8.00 – 21.00,,До 700 рублей средний чек,
2212,Greenbox,Кафе,"Санкт - Петербург , Невский просп., 63",круглосуточно,,До 700 рублей средний чек,
2213,Greenbox,Кафе,"Санкт - Петербург , Б.Морская , 9",пн - вс 8.00 – 23.00,,До 700 рублей средний чек,
2214,Greenbox,Кафе,"Санкт - Петербург , просп.Энергетиков , 19 , БЦ « Стройхаус »",пн - пт 9.30 – 19.00,,До 700 рублей средний чек,
